"Key","Value"
"Blenhorm Ogin","a planet mentioned briefly in the novel Prisoner of the Daleks.[42]"
"Blestinu","a world on which the Parakon Corporation caused a war to generate dead bodies to fertilise rapine. Blestinuians were a reptilian race.[citation needed]"
"Blini-Gaar","a planet visited by the Seventh Doctor in the novel Prime Time. It is an agricultural world with an all-encompassing televisual culture. It has a single moon, Blinni-Orkos.[70]"
"Bliss","a planet that has been subject to experiments. It was visited by the Seventh Doctor, Ace and Hex in Enemy of the Daleks.[71]"
"Bonarcha Anarda","a planet mentioned in The Power of Kroll, where there are methane-catalysing refineries in every town.[72]"
"Boromeo","a planet mentioned in the Seventh Doctor adventure The Greatest Show in the Galaxy.[15]"
"Bortresoye","the home planet of the Eighth Doctor's companion C'rizz. This planet appeared in the Big Finish Productions adventure The Creed of the Kromon.[73]"
"Bruydac","the home planet of the Bruydac, an alien race featured in the Torchwood original novel Another Life.[74]"
"Brus","a planet mentioned in Nightmare of Eden. Brus has a light blue atmosphere and has a variety of vegetation. The ground is always covered by a thick white rolling mist that is as thick as a cloud. Tannish-yellow mountains can be seen in the distance. Brus i"
"Bouken","a barren, desert planet rich in oil and covered by tannish-yellow sand first mentioned in the second episode of The Infinite Quest and the prime setting of the third, fourth and fifth episodes. It is in orbit around three artificial suns. It is the locati"
"Calliopticon","the home planet to the dwarf people race, the Meticons. It was mentioned in The Dalek Pocketbook and Space Travellers Guide.[75]"
"Calufrax","a dead, icy planet which was in actuality a disguised segment of The Key to Time in The Pirate Planet.[57]"
"Calufrax Minor","mentioned in ""The Stolen Earth"" as one of the 27 planets taken by Davros.[3] The comic series The Forgotten specifies that is not the same planet as Calufrax. It is home to an insect-like species of parasites.[76]"
"Carsus","a planet which the Sixth Doctor and Mel visited in the Past Doctor Adventures book, Spiral Scratch. The Library of Carsus, the largest knowledge repository in the universes, is located on this planet. It is located in the same stellar system as Lakertya.["
"Cashel","a planet mentioned by the Tenth Doctor in the story ""The Bog Warrior"". It is a completely average planet populated by humans and consists of two kingdoms: Tollund and Lindow.[78]"
"Cassius","a planet mentioned in The Sun Makers as part of Earth's solar system.[79][80]"
"Castor 36","a planet promised to Luke Rattigan by the Sontarans in ""The Poison Sky"".[81]"
"Castrovalva","the lush, green world seen in the Fifth Doctor story of that name.[82]"
"Catastrophea","in the Past Doctor Adventures novel of that name.[83]"
"Catrigan Nova","a planet the Master promises to take his wife to in ""Last of the Time Lords"". It has whirlpools of gold.[84]"
"Centauri Seven","a planet mentioned in Time and the Rani.[85]"
"Cep Cassalon",", a group of integrated planets, are mentioned in the book Monsters and Villains, and are referenced as a place in the year five billion where the Face of Boe known as 'the Creature that God Forgot'.[86]"
"Chavic Five","a planet mentioned in ""The Long Game"", the government of which has collapsed by the year 200,000, reducing the emigration of its inhabitants.[87]"
"Cheem","the home planet of the Forest of Cheem, highly evolved trees who sent delegates to witness the death of the Earth.[citation needed]"
"Cheetah Planet","the unnamed homeworld of the Cheetah People in the Seventh Doctor serial Survival. It is a beautiful world, with sand dunes and forests near a great lake. It is also a deadly world which the natives share a symbiotic relationship with.[88][89]"
"Chelonia","the home of the Chelonians, tortoise-like aliens introduced in the Virgin New Adventures novel The Highest Science.[90]"
"Chimeria","a lush, green planet mentioned in Delta and the Bannermen. It is known as ""The Garden Planet"".[91]"
"Chimera IV","a forest planet that holds sanctuary for the kind Chimerans, descended from the Chimeras that left ancient Greece.[citation needed]"
"Chloris","the setting of the Fourth Doctor serial The Creature from the Pit. In The Creature from the Pit, Chloris is discovered to be a lush, green jungle planet high in vegetable matter but low in minerals.[92][93] Through extensive research,[by whom?][original r"
"Chronos","the setting for the webcast Real Time. The planet was conquered by the Cybermen.[94]"
"Cinethon","a planet mentioned in the Seventh Doctor story The Greatest Show in the Galaxy.[15]"
"Clom","the home planet of the Abzorbaloff mentioned by the creature in the 2006 series episode ""Love & Monsters"", as being the twin planet of Raxacoricofallapatorius.[95] In ""The Stolen Earth"", Clom is one of the 27 planets that have been taken out of time and s"
"Clix","a planet mentioned in the Sarah Jane Adventures episodes Revenge of the Slitheen and The Gift as being one of four planets in the ""Raxas Alliance"", alongside Raxacoricofallapatorius, Raxacoricovarlonpatorius and Clom.[97]"
"Colano Alpha and Colano Beta","both mentioned in the story The Robots of Death. They are believed to be covered by thick sand.[98]"
"Collabria","a planet mentioned in the fifth series The Sarah Jane Adventures story Sky. The planet is red in color and features a stunning set of fiery rings.[99]"
"Collactin","a planet mentioned in The Pirate Planet. It was destroyed by the planet Zanak for its minerals.[57]"
"The Colony planet","was an otherwise unnamed world that was home to a human colony, which had been infiltrated by Macra. It may lie within Galaxy M87, although this uncertain.[original research?][citation needed]"
"Crafe Tec Heydra","a planet mentioned in the Doctor Who Annual.[vague] On the side of one of its mountains, there are carvings of the Time War with the words 'You are not alone' scratched underneath the hieroglyphs and symbols.[citation needed]"
"Crinoth","a planet visited in The Horns of Nimon.[20][101]"
"Dakito","a planet controlled by the Shadow King.[citation needed]"
"Darbodia","a planet visited by the Doctor and his grandchildren, John and Gillian, in the Doctor Who Magazine comic strip ""The Land of Happy Endings"".[106]"
"Darkheart","a planet located in the gap between the Galaxy's spiral arms, connected to its star's mass via a dimensional bridge. It was the location of the Darkheart device, a machine that could destroy planets and alter morphic fields.[107]"
"Darp","a planet mentioned in Nightmare of Eden.[56]"
"Darillium (a.k.a. Durillium)","the location of the Singing Towers. The Doctor took Professor River Song (in his future and her past) to see these towers just before she had to go to the Library. It was mentioned in ""Forest of the Dead"".[108]"
"Delphon","a planet where the natives communicate with their eyebrows, first mentioned in Spearhead from Space.[109] The language is ""spoken"" in the Big Finish Productions audio play ...ish.[110]"
"Desperus","the penal planet of the solar system in the 41st century, seen in The Daleks' Master Plan. The native creatures of Desperus are the screamers.[111][112]"
"Deva Loka","the setting of the Fifth Doctor serial Kinda. It was once part of the Manussan Empire. The planet is very close to being a paradise, with a mild climate and warm blue seas. Much of Deva Loka is covered by sub-tropical jungles. It is also rich in exotic al"
"Dhakan","a planet visited in the Doctor Who Magazine comic strip ""The Glorious Dead"". Dhakan was ruled by Cardinal Morningstar, head of the Church of the Glorious Dead. It was in fact Earth, whose history had been perverted by the Master.[115]"
"Diadem","the most relaxing planet in the Galaxy. It was seen in The Crystal Bucephalus.[116]"
"Dido","the setting of The Rescue. It is a mountainous desert world home to vicious-looking but harmless sand beasts, and to a mysterious humanoid race. The Doctor describes the natives as a people to whom violence is totally alien.[48][117]"
"Dioscuros","a planet mentioned in the Seventh Doctor story The Greatest Show in the Galaxy.[15]"
"Diplos","the home of Cessair, the Doctor's adversary in The Stones of Blood.[118]"
"Discurus","another planet that was destroyed by planet Zanak. It was mentioned in The Pirate Planet.[57]"
"Draconia","the homeworld of the Draconians and features in the serial Frontier in Space. Draconia and Earth become the dominant space-faring species at some point in the future, leading to conflict.[119][120]"
"Drahva","the home planet of the Drahvins, a female warrior race encountered by the First Doctor in Galaxy 4.[121]"
"Dravidia","a planet in the Rexel Planetary Configuration, mentioned during the sole performance of William Shakespeare's lost play Love's Labours Won in ""The Shakespeare Code"".[122] A Dravidian ship crash-landed on Karn in The Brain of Morbius.[123] The Dravidians a"
"Dronid","a planet mentioned in the unfinished serial Shada.[125]"
"Duchamp 331","a planet used as a refuelling station for ships. It also has a gallery and a few businesses. It rains dust every day and every night there is a loud, Dalek-like scream that can be heard throughout the planet. According to legend, the origin of the screami"
"Dulkis","the planet on which the Second Doctor encounters the Dominators in The Dominators.[127][128]"
"Dust, later Foreman's World,","a former Earth colony on the Dead Frontier at the edge of the Galaxy. vigilante gangs called Clansmen are active there. It is later renamed Foreman's World after the thirteenth incarnation of travelling Time Lord I.M. Foreman merges with its biosphere. It"
"Earth","the home planet of humans.[130] Other sentient species with terrestrial origins include Silurians, Sea Devils, ""fairies"" [131] and, in an alternate future, Haemovores.[additional citation needed] Frequently a target for alien invasions.[additional citatio"
"Eden","a dark, hostile jungle world seen in Nightmare of Eden. It is the native planet of the Mandrels. It has an orange atmosphere and is constantly bathed in orange twilight. Native plant life includes meat-eating plants, which are also seen in Nightmare of Ed"
"Ephte Major","the home planet of the avaricious, slug-like Ephtes, seen in the Doctor Who Monthly comic strip ""Profits of Doom"".[27]"
"Enlandia","a planet mentioned in The Ark in Space. It is a planet entirely covered by water.[137]"
"Epsilon Four Zero Gamma (a.k.a. Epsilon Four)","a planet mentioned in the story The Dominators.[127]"
"Esto","a planet visited by the First Doctor and Susan Foreman before the start of the TV series. It is home to telepathic plants. It was mentioned in the story The Sensorites.[138]"
"Eudamus","another planet mentioned in the Seventh Doctor story The Greatest Show in the Galaxy.[15]"
"Exarius","a planet visited in the story Colony in Space, also spelled Uxarieus.[139][140][141]"
"Exxilon","the planet on which the Third Doctor encounters the Daleks in Death to the Daleks. According to the Doctor, the Great City of the Exxilons is one of the 700 Wonders of the Universe (after its destruction, he sadly says that the universe has now been reduc"
"The Eye of Orion","the wet, tranquil planet visited by the Fifth Doctor at the beginning of The Five Doctors. It is a planet constantly bombarded by positive energy and is believed (at least by the Doctor) to be one of the most beautiful and peaceful planets in the cosmos.["
"Fagiros","another planet mentioned in the Seventh Doctor story The Greatest Show in the Galaxy.[15]"
"Felspoon","a planet mentioned by Donna in ""Journey's End"". The planet has mountains that sway in the breeze.[4]"
"Fifteenth Broken Moon","located in the legendary Medusa Cascade. It apparently is broken in large pieces and is mentioned by the Tenth Doctor in the episode The Sontaran Stratagem"
"The Fifth Planet in our solar system","destroyed by the Time Lords in an attempt to destroy the Fendahl, the planet's remains create the asteroid field that lies between Mars and Jupiter.[citation needed]"
"Fisar","a planet mentioned by Mavic Chen in The Daleks' Master Plan.[111]"
"Florana","one of the universe's most beautiful planets, mentioned at the end of Invasion of the Dinosaurs. It is said by the Doctor that its land is carpeted by perfumed flowers, seas of warm milk and sand as soft as swan's down.[147] It is also described as having"
"Foreman's World","another name for Dust.[148]"
"Freytus","a planet mentioned in The Ribos Operation.[149]"
"Frontios","a colony planet in the Veruna system in the serial of the same name. Frontios is a desert planet and is often bombarded by sandstorms and gale force winds.[150][151]"
"Galaxis Bright and Galaxis Dark"," are sister planets mentioned in the novella Nightdreamers. Dark economically superior to Bright. The moon Verd orbited Bright.[152]"
"Gallifrey","the home planet of the Time Lords.[153][154] It was first seen (but not named) in The War Games[155] and first named (but not seen) in The Time Warrior.[156] It was thought to be destroyed in a Time War, wiping out nearly all of the Time Lord race.[157][1"
"Galsec Seven","a planet mentioned in The Sontaran Experiment. It is where a human colony is located.[162]"
"Gameworld Gamma","a lush, green world owned by Mr and Mrs Pakoo, as seen in the Doctor Who Adventures.[vague] It is used to hunt humans in the year five billion.[citation needed]"
"Gauda Prime","a human colony planet in the Earth Empire and a ""tough"" place to live. It was mentioned in Prisoner of the Daleks.[42]"
"Gearon","a planet mentioned in ""Mission to the Unknown"". This is also the name of one of the delegates in the Galactic Council.[163]"
"Gidu","a stormy planet mentioned in Nightmare of Eden. Gidu has a light pinkish-yellow atmosphere and has a wide variety of vegetation. Its surface is often bombarded by gale force winds.[56]"
"Glasson Minor","a planet mentioned in The Creature from the Pit.[92]"
"Golobus","another planet mentioned in the Seventh Doctor story The Greatest Show in the Galaxy.[15]"
"The Gond Homeworld","the unnamed planet of the humanoid Gonds, who were in the thrall of the Krotons.[164][165]"
"Grajick Major","one of the planets Rose and the Doctor visited mentioned in Justin Richards' Ultimate Monster Guide.[166]"
"Granados","another planet that was destroyed by Zanak in The Pirate Planet.[57]"
"Griffoth","the home planet of the Graske, and is seen in the interactive episode ""Attack of the Graske"".[168]"
"Griophos","a planet mentioned in Paradise Towers.[169]"
"The Grold Homeworld","a small, hot planet with a rarefied atmosphere. It is tidally locked, therefore lacking a day-night cycle. The Grold were flurosilicon-based, and appeared in The Eye of the Giant.[170]"
"Grolon","yet another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Grundle","a planet mentioned in Carnival of Monsters. A swampy satellite of this planet is home to the vicious Drashigs.[171]"
"Hakol (a.k.a. Harkol)","a planet mentioned in the Fifth Doctor serial The Awakening. A probe from this planet features in The Awakening. The people of Harkol can harness psychic energy, and use tinclavic metal acquired from Raaga.[172]"
"Halcya","a tranquil planet briefly visited in the comic strip ""The Gift"".[173]"
"Halergan Three (a.k.a. Harlequin Three)","a holiday planet mentioned in The Ribos Operation.[149]"
"Hastus Minor","a planet mentioned in The Monsters Inside. Ermenshrew Blathereen is revealed to have led a talent agency on this planet.[174]"
"Heaven","the setting of the Virgin New Adventures novel Love and War by Paul Cornell. It lies between human space and the Draconian Empire, but despite being beautiful and peaceful, has no tactical value or mineral wealth. It was a jointly administered burial grou"
"Hedron","a planet where the advanced inhabitants conducted disastrous experiments with time, as seen in the Doctor Who Monthly comic strip ""Time Bomb"".[176]"
"Heiradi","a planet mentioned in Frontios.[150]"
"Hell","the homeworld of the Helkans, who were enslaved by the Daleks to mine pockets of the highly toxic helkogen gas beneath the planet's surface in the Doctor Who Magazine comic strip story Nemesis of the Daleks.[177] It also appeared in Emperor of the Daleks!"
"Hermethica","the homeworld of the Wire as mentioned in the book Creatures and Demons. The Hermethicans are not naturally formless, but the Wire's group found a way to transform themselves into plasmic energy and used their abilities to attempt takeover of the planet.["
"The unnamed planet on which Hokesh","located orbited an old star near the centre of the Galaxy, suffering from temporal disturbances. Hokesh was a city, and a life form, visited in the novella Citadel of Dreams.[180]"
"House","a malevolent, sentient planetoid, located in a tiny bubble universe. House gorged itself on artron energy, and used Gallifreyan distress signals left by Time Lords that crashed on its surface to entrap other Time Lords and their TARDISes in order to feed "
"Hurala","a planetoid that hosted a Lodestar station, a stopping off point for travellers to more distant planets. It was located in the Lasron Solar Region. It had long been abandoned by the time the Doctor arrived there in the novel Prisoner of the Daleks.[42]"
"Hyspero","a planet visited by the Eighth Doctor in the novel The Scarlet Empress. Its capital city, by the same name, has huge markets. Hyspero has a 21-hour day cycle, a mythological quality to life and its literature celebrates thieves and assassins.[183]"
"Hydropellica Hydroxi","a planet once inhabited by the sinister Gappa. The Gappa eventually consumed all lifeforms on Hydropellia Hydroxi and resorted to cannibalism. The last living Gappa was captured by a scientific expedition which crashed on Earth.[citation needed]"
"Indigo 3","the location of the Blue Desert in the audio drama The Skull of Sobek. The desert is perfectly symmetrical, but in the centre is the Sanctuary of Imperfect Symmetry, a religious retreat which exists to counterbalance the desert's perfection.[184]"
"Inter Minor and Inter Major","in the Third Doctor serial Carnival of Monsters as the location of the Miniscope.[171][185]"
"Iphitus","yet another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Jaconda","the planet on which the Sixth Doctor serial The Twin Dilemma is set. It was once a lush, green world with lush meadows and wooded countryside. It was also once well known for its friendly natives. However, in present times, it has become an almost dead, b"
"Jahoo","one of the twenty-seven planets taken by Davros in ""The Stolen Earth"".[3]"
"Jalian 17","a planet mentioned in Prisoner of the Daleks. The Doctor describes it as ""all right for a party."" [42]"
"Jan Francis IX","the planet visited by the Doctor, Romana, Tavius and Janet sometime in The New Adventures of Doctor Who history.[vague][citation needed]"
"Junk","one of the planets featured in the New Series Adventures novel Shining Darkness. The whole planet is a scrapyard and is located in the Andromeda Galaxy.[188]"
"Jupiter","the sixth planet from Earth's sun. The fifth planet was destroyed by the Time Lords, and its remains create the asteroid field that lies between Mars and Jupiter.[citation needed] A gas giant, Jupiter has immense gravity. An orbiting space station is the "
"Justicia","a system of prison planets featured in the New Series Adventures novel The Monsters Inside by Stephen Cole. The Justicia system has lots of planets, six of which are named after letters in the Greek alphabet: Justice Alpha, Justice Beta, Justice Gamma, Ju"
"Kembel","not to be confused with Kemble."
"Kahler","a planet mentioned in the Doctor Who episode ""A Town Called Mercy"". It was said to have been the site of a devastating war. Native planet of the humanoid race known as the Kahler, who are said to be great builders.[192]"
"Kalakiki","another planet from The Greatest Show in the Galaxy.[15]"
"Kalaya","the homeworld of the Kalarians, foes of the Selachians.[citation needed]"
"Kaldor","a planet featured in The Robots of Death.[98]"
"Kantra","a warm, tropical world mentioned in Destiny of the Daleks. It is the native planet of the Kantrians.[8]"
"Kanval","a planet mentioned in Mindwarp.[193]"
"Kapteyn 5","a planet mentioned in the Virgin New Adventures, which is home to more than sixty sentient species including butterfly-people[194] and avian messengers.[195] It was conquered by the Caxtarids, who wiped out four of the sentient species, made deals with fo"
"Karas don Kazra don Slava","a planet with intelligent sand and singing fish.[citation needed]"
"Kar-Charrat","a planet close to the edge of the Galaxy, home to a race composed of water. It is the location of a vast library complex, visited in the audio The Genocide Machine.[196]"
"Karfel","the setting of the serial Timelash. It is a barren, rocky, grey planet that orbits two suns known as Rearbus and Selynx. Its natives have an uneasy relationship with the neighbouring planet of Bandril.[58][59]"
"Karn","home to the Sisterhood of Karn in The Brain of Morbius. It is an almost barren world with a mountainous terrain that is often bombarded by fierce lightning storms, as seen in The Brain of Morbius.[123][197] Through extensive research into the original ser"
"Karris","one of the planets featured in the New Series Adventures novel Shining Darkness.[188]"
"Kastopheria AKA Catastrophea","a planet positioned between the United Planets Association and the Draconian Empire. It is home an advanced race of giant humanoids named the People.[83]"
"Kastria","the home planet of Eldrad, and features in The Hand of Fear. Once a lush planet, it has an icy, rocky and barren surface that is constantly bombarded by solar winds and suffers from frigid temperatures as seen in The Hand of Fear.[200][201]"
"Kataa Floko","a planet mentioned in the episode ""The Sontaran Stratagem"". It is said to have diamond coral reefs[100] and is presumed[by whom?][original research?] to be a tropical/paradise world."
"Katakiki","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Katuria","a planet named in the New Series Adventures novel The Clockwise Man. It was ruled by a tyrannical dictator by the name of Shade Vassily until he was overthrown by a group of revolutionists and was sentenced to exile on Earth.[202]"
"Kegron Pluva","a planet with the ""maddest ecosystem in the universe"", mentioned in the New Series Adventures novel Only Human.[62]"
"Kembel","the setting of ""Mission to the Unknown"" and much of The Daleks' Master Plan. It is mostly covered in large, inhospitable[to whom?] jungles home to many strange creatures. It is described as the most hostile planet known, and only the Dalek forces were wil"
"Kinjana","a planet mentioned in the Tenth Doctor New Series Adventures novel The Last Dodo.[64]"
"Kirith","the planet of the Kirithons and setting of the Virgin New Adventures story Timewyrm: Apocalypse.[204]"
"Klechton","a planet described as being ""pretty dull"" by the Doctor in Prisoner of the Daleks.[42]"
"Kolkokron (a.k.a. Culkacron)","a planet mentioned in Frontios. It is a rocky, barren planet covered by boulders, boulders and more boulders.[150]"
"Koorharn","a planet mentioned in the episode ""42"". The Tenth Doctor takes Martha Jones there to ice skate on its mineral lakes.[205]"
"Kosnax","a planet mentioned in Time-Flight.[206]"
"Karass Don Slava","a planet mentioned in the episode ""Amy's Choice"". It is home to the Candle Meadows and is the origin of Psychic Pollen.[207]"
"Kreme","a planet mentioned in The Space Museum.[208]"
"Krillia","the home planet of the Krillitanes.[citation needed]"
"Krontep","a planet mentioned in Mindwarp.[193]"
"Krop Tor","a planet impossibly in orbit around a black hole designated K37 Gem5,[209][210] and the setting of ""The Impossible Planet""[209] and ""The Satan Pit"".[104] Its name translates to ""The Bitter Pill"" in Falltino, the legend being that the black hole was a demo"
"Kylos","another planet mentioned in The Space Museum.[208]"
"Kyrol","a watery planet that was home to a human expedition, a humanised Dalek colony, and a native beast named Kataphobus. Visited in the Doctor Who Magazine comic strip ""Children of the Revolution"".[211]"
"Lakertya","the setting of the serial Time and the Rani. It is a peaceful and primitive planet. Most of the planet is rocky and mountainous, with little vegetation. It is covered by lakes.[85][212]"
"Laylora","the setting of the New Series Adventures novel The Price of Paradise. It is often referred to as the Paradise Planet.[213]"
"Leela's homeworld","was visited in The Face of Evil. It a planet covered by dense forests and has a pinkish atmosphere. It also has mountains.[214][215]"
"Lelex","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Leophantos aka. Leovontos","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Levithia","a planet mentioned in The Ribos Operation.[149][216]"
"The Library","a planet containing every book from throughout time. The planet was abandoned when it was invaded by a deadly swarm of Vashta Nerada which devoured all the visitors and staff. The Tenth Doctor and Donna travel to the planet in ""Silence in the Library"" aft"
"Limus 4","a planet mentioned in The Leisure Hive.[1]"
"Livonia","the main setting for the Second Doctor audio story Fear of the Daleks.[218]"
"Loam","the setting of the Doctor Who Magazine comic strip story The Woman Who Sold the World. It is a world undergoing a ""planet clearance"" by a race of giant robots known as the High Goliax.[219]"
"Lobos","features in the Second Doctor serial The Space Pirates. Its a frontier world where the character Milo Clancey has his base.[220][221]"
"Logopolis","the setting of much of the action in the serial Logopolis. It is home to a race of mathematicians who are masters of Block Transfer Computation.[222][223]"
"Lonsis","a planet visited in Human Resources.[224]"
"Lowitelom aka. Lowiteliom","another planet that was destroyed by Zanak in The Pirate Planet. Its name is seen briefly in the Captain's Trophy Room.[57]"
"Lucifer","a gas giant planet featured in the Virgin New Adventures book Lucifer Rising with its two moons, Moloch and Belial. The planet held many mysteries for the Project Eden research team. The first being the construction of a bridge between the two moons and t"
"Lurma","a planet mentioned in Carnival of Monsters.[171]"
"Lvan (a.k.a. Luan)","another planet mentioned in Nightmare of Eden.[56]"
